"","Otu001 Enterobacteriaceae","Otu002 Enterococcaceae","Otu003 Porphyromonadaceae","Otu004 Desulfovibrionaceae","Otu005 Akkermansiaceae","Otu006 Bacteroidaceae","Otu007 Porphyromonadaceae","Otu008 Acidaminococcaceae","Otu009 Bacteroidaceae","Otu010 Acidaminococcaceae","Otu011 Sutterellaceae","Otu012 Bacteroidaceae","Otu013 Rikenellaceae","Otu014 Bacteroidaceae","Otu015 Bacteroidaceae","Otu016 Lachnospiraceae","Otu017 Sutterellaceae","Otu018 Bacteroidaceae","Otu019 Porphyromonadaceae","Otu020 Bacteroidaceae","Otu021 Lachnospiraceae","Otu022 Lachnospiraceae","Otu023 Lachnospiraceae","Otu024 Sutterellaceae","Otu025 Lachnospiraceae","Otu026 Odoribacteraceae","Otu027 Sutterellaceae","Otu028 Bacteroidaceae","Otu029 Erysipelotrichaceae","Otu030 Lachnospiraceae","Otu031 Bacillales","Otu032 Lachnospiraceae","Otu033 Erysipelotrichaceae","Otu034 Rikenellaceae","Otu035 Lachnospiraceae","Otu036 Ruminococcaceae","Otu037 Lachnospiraceae","Otu038 Paenibacillaceae_1","Otu039 Clostridiaceae","Otu040 Odoribacteraceae","Otu041 Odoribacteraceae","Otu042 Staphylococcaceae","Otu043 Firmicutes","Otu044 Enterobacteriaceae","Otu045 Rikenellaceae","Otu046 Bacillaceae_1","Otu047 Odoribacteraceae","Otu048 Lachnospiraceae","Otu049 Desulfovibrionaceae","Otu050 Lachnospiraceae","Otu051 Erysipelotrichaceae","Otu052 Erysipelatoclostridiaceae","Otu053 Listeriaceae","Otu054 Ruminococcaceae","Otu055 Lachnospiraceae","Otu056 Bacteroidaceae","Otu057 Ruminococcaceae","Otu058 Clostridiaceae","Otu059 Lactobacillaceae","Otu060 Eubacteriaceae","Otu061 Lachnospiraceae","Otu062 Firmicutes","Otu063 Ruminococcaceae","Otu064 Lachnospiraceae","Otu065 Paenibacillaceae_1","Otu066 Lachnospiraceae","Otu067 Lachnospiraceae","Otu068 Lachnospiraceae","Otu069 Pseudomonadaceae","Otu070 Lachnospiraceae","Otu071 Odoribacteraceae","Otu072 Ruminococcaceae","Otu073 Ruminococcaceae","Otu074 Prevotellaceae","Otu075 Lachnospiraceae","Otu076 Paenibacillaceae_1","Otu077 Erysipelotrichaceae","Otu078 Bacillaceae_1","Otu079 Ruminococcaceae","Otu080 Lachnospiraceae","Otu081 Sutterellaceae","Otu082 Lachnospiraceae","Otu083 Ruminococcaceae","Otu084 Lachnospiraceae","Otu085 Lachnospiraceae","Otu086 Lachnospiraceae","Otu087 Lachnospiraceae","Otu088 Lachnospiraceae","Otu089 Clostridiaceae","Otu090 Ruminococcaceae","Otu091 Lachnospiraceae","Otu092 Bacteria","Otu093 Erysipelotrichaceae","Otu094 Bacteroidaceae","Otu095 Ruminococcaceae","Otu096 Rikenellaceae","Otu097 Ruminococcaceae","Otu098 Ruminococcaceae","Otu099 Bacillaceae_2","Otu100 Ruminococcaceae","Otu101 Lachnospiraceae","Otu102 Clostridiaceae","Otu103 Paenibacillaceae_1","Otu104 Lachnospiraceae","Otu105 Eggerthellaceae","Otu106 Ruminococcaceae","Otu107 Lachnospiraceae","Otu108 Lachnospiraceae","Otu109 Ruminococcaceae","Otu110 Lachnospiraceae","Otu111 Lachnospiraceae","Otu112 Lachnospiraceae","Otu113 Erysipelotrichaceae","Otu114 Clostridiaceae","Otu115 Clostridiaceae","Otu116 Odoribacteraceae","Otu117 Bacillales","Otu118 Ruminococcaceae","Otu119 Ruminococcaceae","Otu120 Lachnospiraceae","Otu121 Erysipelotrichaceae","Otu122 Clostridiaceae","Otu123 Erysipelotrichaceae","Otu124 Barnesiellaceae","Otu125 Lachnospiraceae","Otu126 Paenibacillaceae_1","Otu127 Lachnospiraceae","Otu128 Bacteroidaceae","Otu129 Paenibacillaceae_1","Otu130 Lachnospiraceae","Otu131 Lachnospiraceae","Otu132 Barnesiellaceae","Otu133 Prevotellaceae","Otu134 Ruminococcaceae","Otu135 Lachnospiraceae","Otu136 Peptostreptococcaceae","Otu137 Paenibacillaceae_1","Otu138 Ruminococcaceae","Otu139 Ruminococcaceae","Otu140 Ruminococcaceae","Otu141 Clostridiaceae","Otu142 Muribaculaceae","Otu143 Ruminococcaceae","Otu144 Eggerthellaceae","Otu145 Clostridiaceae","Otu146 Lachnospiraceae","Otu147 Lachnospiraceae","Otu148 Clostridiaceae","Otu149 Coriobacteriaceae","Otu150 Lachnospiraceae","Otu151 Ruminococcaceae","Otu152 Lachnospiraceae","Otu153 Bacteroidaceae","Otu154 Lachnospiraceae","Otu155 Ruminococcaceae","Otu156 Ruminococcaceae","Otu157 Bacteria","Otu158 Lachnospiraceae","Otu159 Lachnospiraceae","Otu160 Lachnospiraceae","Otu161 Ruminococcaceae","Otu162 Akkermansiaceae","Otu163 Ruminococcaceae","Otu164 Clostridiaceae","Otu165 Lachnospiraceae","Otu166 Rikenellaceae","Otu167 Ruminococcaceae","Otu168 Paenibacillaceae_1","Otu169 Ruminococcaceae","Otu170 Ruminococcaceae","Otu171 Lachnospiraceae","Otu172 Lachnospiraceae","Otu173 Eubacteriaceae","Otu175 Enterobacteriaceae","Otu176 Micrococcaceae","Otu177 Bacteroidaceae","Otu178 Lachnospiraceae","Otu179 Lachnospiraceae","Otu180 Lachnospiraceae","Otu181 Bacteroidaceae","Otu182 Clostridiaceae","Otu183 Lachnospiraceae","Otu185 Lachnospiraceae","Otu187 Ruminococcaceae","Otu188 Victivallaceae","Otu189 Lachnospiraceae","Otu190 Ruminococcaceae","Otu191 Oxalobacteraceae","Otu192 Ruminococcaceae","Otu193 Lachnospiraceae","Otu194 Firmicutes","Otu195 Ruminococcaceae","Otu197 Bacteroidaceae","Otu198 Bacteroidaceae","Otu200 Clostridiaceae","Otu201 Erysipelotrichaceae","Otu203 Ruminococcaceae","Otu204 Eggerthellaceae","Otu206 Firmicutes","Otu207 Ruminococcaceae","Otu209 Erysipelotrichaceae","Otu210 Bacteroidaceae","Otu211 Lachnospiraceae","Otu216 Ruminococcaceae","Otu218 Lachnospiraceae","Otu221 Bacteroidaceae","Otu222 Erysipelotrichaceae","Otu223 Erysipelotrichaceae","Otu224 Lachnospiraceae","Otu227 Ruminococcaceae","Otu229 Bacteroidaceae","Otu237 Bacteroidaceae","Otu240 Lachnospiraceae","Otu241 Ruminococcaceae","Otu243 Lachnospiraceae","Otu251 Bacteroidales","Otu273 Lachnospiraceae","Otu276 Ruminococcaceae"
"A_1L_B2",0,5,0,60,0,125,44,0,89,0,0,49,0,6,1,0,0,0,9,39,0,37,40,3,5,57,21,73,0,12,0,6,12,22,0,1,10,0,0,2,3,0,27,0,6,0,0,0,0,0,0,5,0,0,18,19,9,0,0,5,0,0,2,0,0,0,20,0,0,2,16,0,18,0,29,0,2,0,1,1,0,0,0,15,0,1,0,0,4,0,0,0,2,0,0,2,1,0,0,5,6,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,3,6,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"A_1R_B2",0,11,0,63,0,226,21,0,131,0,0,64,0,10,4,0,0,6,26,4,0,66,35,0,12,3,23,15,0,11,0,19,3,32,0,1,8,0,0,3,8,0,23,0,3,0,0,0,0,0,0,4,0,0,24,16,8,0,0,1,1,0,23,1,0,0,11,0,0,0,13,1,5,0,6,0,6,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
"A_NP_B2",0,11,0,60,0,230,7,0,108,1,0,53,0,4,1,0,0,9,15,4,0,29,33,0,3,6,21,36,0,5,0,15,2,51,0,0,7,0,0,5,3,0,50,0,7,0,0,0,0,0,0,1,0,0,31,25,4,0,0,5,0,0,33,0,0,0,8,0,0,0,19,0,7,0,11,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,4,0,4,0,0,9,2,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_1L_B2",0,22,0,65,327,37,69,0,18,10,0,80,1,13,1,0,0,2,10,62,0,11,50,0,5,0,0,41,0,15,0,1,6,16,21,11,9,0,0,0,5,0,9,0,2,0,0,0,0,0,0,7,0,0,0,8,3,0,0,11,11,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,3,0,4,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_1R_B2",0,20,0,69,335,33,55,0,20,9,0,90,3,17,0,0,0,2,12,69,0,7,23,1,3,0,13,38,0,8,0,5,7,19,13,25,3,0,0,0,7,0,4,0,4,0,0,0,0,0,0,1,0,0,0,8,3,0,0,7,10,0,0,6,0,0,0,0,0,0,3,0,1,0,0,0,0,0,7,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B_NP_B2",0,11,0,55,312,46,87,0,10,13,0,87,1,18,5,0,0,5,9,48,0,27,31,5,7,0,0,60,0,12,0,3,11,15,12,0,2,0,0,0,3,0,6,0,1,0,0,0,0,0,0,1,0,0,0,14,6,0,0,5,12,0,1,14,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"C_1L_B2",0,0,0,71,312,19,57,0,6,0,0,90,22,6,0,0,0,2,21,61,0,25,21,14,1,0,0,43,0,20,0,0,10,19,13,24,10,0,0,1,4,0,35,0,0,0,0,0,0,0,0,5,0,0,0,11,2,0,0,3,2,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,2,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0,1,0,13,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"C_1R_B2",0,0,0,51,287,83,35,0,31,14,0,26,31,5,1,0,0,8,10,64,0,64,23,0,4,0,0,61,0,15,0,2,9,19,7,0,2,0,0,3,4,0,12,0,0,0,0,0,0,0,0,3,0,0,0,4,7,0,0,3,2,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,4,0,0,3,9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,1,1,0,3,0,18,0,2,0,0,0,0,1,2,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C_NP_B2",0,0,0,38,320,15,41,0,3,14,0,62,8,9,0,0,0,10,10,67,0,58,27,8,7,0,6,34,1,16,0,9,8,14,19,20,12,0,0,0,3,0,39,0,0,0,0,0,0,0,0,1,0,0,0,6,6,0,0,6,11,0,2,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,1,2,0,0,1,3,0,0,1,1,0,0,0,0,0,4,0,1,1,0,0,0,11,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,0,20,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_1L_B2",0,0,1,38,328,51,61,0,12,104,0,100,1,4,0,0,0,2,9,52,0,15,60,10,3,0,1,42,0,0,0,0,21,12,4,4,0,0,0,0,9,0,6,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
