"","Kingdom","King.conf","Phylum","Phy.conf","Class","Class.conf","Order","Order.conf","family","fam.conf","genus","gen.conf"
"1","Bacteria","100","Proteobacteria","100","Gammaproteobacteria","100","Enterobacterales","100","Enterobacteriaceae","100","Escherichia/Shigella","100"
"2","Bacteria","100","Firmicutes","100","Bacilli","100","Lactobacillales","100","Enterococcaceae","100","Enterococcus","100"
"3","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Porphyromonadaceae","100","Parabacteroides","100"
"4","Bacteria","100","Proteobacteria","100","Deltaproteobacteria","100","Desulfovibrionales","100","Desulfovibrionaceae","100","Bilophila","100"
"5","Bacteria","100","Verrucomicrobia","100","Verrucomicrobiae","100","Verrucomicrobiales","100","Akkermansiaceae","100","Akkermansia","100"
"6","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Phocaeicola","100"
"7","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Porphyromonadaceae","100","Parabacteroides","100"
"8","Bacteria","100","Firmicutes","100","Negativicutes","100","Acidaminococcales","100","Acidaminococcaceae","100","Phascolarctobacterium","100"
"9","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"10","Bacteria","100","Firmicutes","100","Negativicutes","100","Acidaminococcales","100","Acidaminococcaceae","100","Acidaminococcus","100"
"11","Bacteria","100","Proteobacteria","100","Betaproteobacteria","100","Burkholderiales","100","Sutterellaceae","100","Duodenibacillus","100"
"12","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"13","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Rikenellaceae","100","Alistipes","100"
"14","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"15","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"16","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"17","Bacteria","100","Proteobacteria","100","Betaproteobacteria","100","Burkholderiales","100","Sutterellaceae","100","Sutterella","100"
"18","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"19","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Porphyromonadaceae","100","Parabacteroides","100"
"20","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"21","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"22","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Hungatella","86"
"23","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"24","Bacteria","100","Proteobacteria","100","Betaproteobacteria","100","Burkholderiales","100","Sutterellaceae","100","Parasutterella","100"
"25","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"26","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Odoribacteraceae","100","Odoribacter","100"
"27","Bacteria","100","Proteobacteria","100","Betaproteobacteria","100","Burkholderiales","100","Sutterellaceae","100","Sutterella","100"
"28","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"29","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Turicibacter","100"
"30","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Clostridium_XlVa","98"
"31","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Bacillales","85","Bacillales_unclassified","85"
"32","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Enterocloster","100"
"33","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Erysipelotrichaceae_unclassified","100"
"34","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Rikenellaceae","100","Alistipes","100"
"35","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Clostridium_XlVa","100"
"36","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruthenibacterium","100"
"37","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Eisenbergiella","100"
"38","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Paenibacillaceae_1","99","Paenibacillus","97"
"39","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","100","Clostridium_sensu_stricto","100"
"40","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Odoribacteraceae","100","Odoribacter","100"
"41","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Odoribacteraceae","100","Butyricimonas","100"
"42","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Staphylococcaceae","100","Staphylococcus","100"
"43","Bacteria","100","Firmicutes","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100","Firmicutes","100","Firmicutes_unclassified","100"
"44","Bacteria","100","Proteobacteria","100","Gammaproteobacteria","100","Enterobacterales","100","Enterobacteriaceae","100","Enterobacteriaceae_unclassified","100"
"45","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Rikenellaceae","100","Alistipes","100"
"46","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Bacillaceae_1","99","Bacillaceae_1_unclassified","99"
"47","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Odoribacteraceae","100","Butyricimonas","100"
"48","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"49","Bacteria","100","Proteobacteria","100","Deltaproteobacteria","100","Desulfovibrionales","100","Desulfovibrionaceae","100","Desulfovibrio","100"
"50","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"51","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Coprobacillus","100"
"52","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelatoclostridiaceae","52","Erysipelatoclostridium","52"
"53","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Listeriaceae","99","Listeria","99"
"54","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Faecalibacterium","100"
"55","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Mediterraneibacter","100"
"56","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"57","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"58","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","100","Clostridiales_unclassified","100"
"59","Bacteria","100","Firmicutes","100","Bacilli","100","Lactobacillales","100","Lactobacillaceae","100","Limosilactobacillus","100"
"60","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Eubacteriaceae","100","Eubacterium","100"
"61","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Enterocloster","100"
"62","Bacteria","100","Firmicutes","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100","Firmicutes","100","Firmicutes_unclassified","100"
"63","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"64","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"65","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Paenibacillaceae_1","100","Paenibacillus","99"
"66","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"67","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"68","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"69","Bacteria","100","Proteobacteria","100","Gammaproteobacteria","100","Pseudomonadales","100","Pseudomonadaceae","100","Pseudomonas","100"
"70","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Anaerotignum","100"
"71","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Odoribacteraceae","100","Butyricimonas","100"
"72","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Neglecta","100"
"73","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"74","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Prevotellaceae","100","Paraprevotella","100"
"75","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"76","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Paenibacillaceae_1","100","Paenibacillus","99"
"77","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Dielma","100"
"78","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Bacillaceae_1","92","Peribacillus","92"
"79","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Intestinimonas","100"
"80","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Faecalicatena","100"
"81","Bacteria","100","Proteobacteria","100","Betaproteobacteria","100","Burkholderiales","100","Sutterellaceae","100","Turicimonas","100"
"82","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Dorea","99"
"83","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Flavonifractor","100"
"84","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Ruminococcus2","95"
"85","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Howardella","100"
"86","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"87","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Sellimonas","96"
"88","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"89","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","73","Clostridiales_unclassified","73"
"90","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"91","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"92","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria","100","Bacteria_unclassified","100"
"93","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Erysipelotrichaceae_unclassified","100"
"94","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"95","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Agathobaculum","76"
"96","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Rikenellaceae","100","Alistipes","100"
"97","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Dysosmobacter","100"
"98","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcus","100"
"99","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Bacillaceae_2","100","Virgibacillus","97"
"100","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","97"
"101","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"102","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","100","Clostridium_sensu_stricto","100"
"103","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Paenibacillaceae_1","99","Paenibacillus","83"
"104","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"105","Bacteria","100","Actinobacteria","100","Coriobacteriia","100","Eggerthellales","100","Eggerthellaceae","100","Eggerthella","100"
"106","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"107","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"108","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Anaerotignum","99"
"109","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Faecalibacterium","100"
"110","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Anaerostipes","98"
"111","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"112","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"113","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Holdemania","100"
"114","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","100","Clostridiales_unclassified","100"
"115","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","100","Clostridiales_unclassified","100"
"116","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Odoribacteraceae","100","Butyricimonas","100"
"117","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Bacillales","100","Bacillales_unclassified","100"
"118","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcus","100"
"119","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Lawsonibacter","100"
"120","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"121","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Longibaculum","100"
"122","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","100","Clostridium_sensu_stricto","100"
"123","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Erysipelotrichaceae_unclassified","99"
"124","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Barnesiellaceae","100","Coprobacter","100"
"125","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"126","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Paenibacillaceae_1","100","Paenibacillus","96"
"127","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"128","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"129","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","100","Paenibacillaceae_1","100","Paenibacillus","100"
"130","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Roseburia","100"
"131","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","90"
"132","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Barnesiellaceae","100","Barnesiella","100"
"133","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Prevotellaceae","100","Prevotella","100"
"134","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"135","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Mediterraneibacter","70"
"136","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Peptostreptococcaceae","100","Clostridioides","100"
"137","Bacteria","100","Firmicutes","100","Bacilli","100","Bacillales","98","Paenibacillaceae_1","95","Paenibacillus","95"
"138","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"139","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"140","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","91"
"141","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","97","Clostridiales_unclassified","97"
"142","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Muribaculaceae","100","Muribaculum","100"
"143","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Oscillibacter","100"
"144","Bacteria","100","Actinobacteria","100","Coriobacteriia","100","Eggerthellales","100","Eggerthellaceae","100","Adlercreutzia","100"
"145","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","97","Clostridiales_unclassified","97"
"146","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","96"
"147","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"148","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiaceae","100","Ihubacter","100"
"149","Bacteria","100","Actinobacteria","100","Coriobacteriia","100","Coriobacteriales","100","Coriobacteriaceae","100","Collinsella","100"
"150","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Anaerostipes","100"
"151","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"152","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"153","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"154","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"155","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"156","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcus","100"
"157","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria","100","Bacteria_unclassified","100"
